code_module,code_presentation,id_student,final_result,total_clicks,active_days,unique_resources,num_forum,num_quiz,avg_score,num_assess_attempted,total_weight,module_presentation_length,num_of_prev_attempts,studied_credits,highest_education,age_band,imd_band,disability,gender,region
AAA,2013J,11391,Pass,934.0,40.0,55.0,0.0,0.0,82.0,5.0,100.0,268,0,240,HE Qualification,55<=,90-100%,N,M,East Anglian Region
AAA,2013J,28400,Pass,1435.0,80.0,84.0,0.0,0.0,66.4,5.0,100.0,268,0,60,HE Qualification,35-55,20-30%,N,F,Scotland
AAA,2013J,30268,Withdrawn,281.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,268,0,60,A Level or Equivalent,35-55,30-40%,Y,F,North Western Region
AAA,2013J,31604,Pass,2158.0,123.0,82.0,0.0,0.0,76.0,5.0,100.0,268,0,60,A Level or Equivalent,35-55,50-60%,N,F,South East Region
AAA,2013J,32885,Pass,1034.0,70.0,66.0,0.0,0.0,54.4,5.0,100.0,268,0,60,Lower Than A Level,0-35,50-60%,N,F,West Midlands Region
AAA,2013J,38053,Pass,2445.0,143.0,88.0,0.0,0.0,68.0,5.0,100.0,268,0,60,A Level or Equivalent,35-55,80-90%,N,M,Wales
AAA,2013J,45462,Pass,1492.0,90.0,59.0,0.0,0.0,68.0,5.0,100.0,268,0,60,HE Qualification,0-35,30-40%,N,M,Scotland
AAA,2013J,45642,Pass,1428.0,105.0,66.0,0.0,0.0,72.4,5.0,100.0,268,0,120,A Level or Equivalent,0-35,90-100%,N,F,North Western Region
AAA,2013J,52130,Pass,1894.0,122.0,76.0,0.0,0.0,71.4,5.0,100.0,268,0,90,A Level or Equivalent,0-35,70-80%,N,F,East Anglian Region
AAA,2013J,53025,Pass,3158.0,142.0,80.0,0.0,0.0,78.0,5.0,100.0,268,0,60,Post Graduate Qualification,55<=,0,N,M,North Region
AAA,2013J,57506,Pass,1319.0,90.0,76.0,0.0,0.0,74.0,5.0,100.0,268,0,60,Lower Than A Level,35-55,70-80%,N,M,South Region
AAA,2013J,58873,Pass,1732.0,120.0,74.0,0.0,0.0,73.2,5.0,100.0,268,0,60,A Level or Equivalent,0-35,20-30%,N,F,East Anglian Region
AAA,2013J,59185,Pass,1102.0,61.0,52.0,0.0,0.0,78.6,5.0,100.0,268,0,60,Lower Than A Level,35-55,60-70%,N,M,East Anglian Region
AAA,2013J,62155,Pass,3388.0,148.0,98.0,0.0,0.0,76.0,5.0,100.0,268,0,60,HE Qualification,0-35,50-60%,N,F,North Western Region
AAA,2013J,63400,Pass,2737.0,175.0,73.0,0.0,0.0,71.6,5.0,100.0,268,0,60,Lower Than A Level,35-55,40-50%,N,M,Scotland
AAA,2013J,65002,Withdrawn,171.0,11.0,25.0,0.0,0.0,67.0,2.0,30.0,268,0,60,A Level or Equivalent,0-35,70-80%,N,F,East Anglian Region
AAA,2013J,70464,Pass,1053.0,46.0,63.0,0.0,0.0,55.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,60-70%,N,F,West Midlands Region
AAA,2013J,71361,Pass,2327.0,135.0,81.0,0.0,0.0,80.4,5.0,100.0,268,0,60,HE Qualification,35-55,0,N,M,Ireland
AAA,2013J,74372,Fail,116.0,14.0,23.0,0.0,0.0,48.5,4.0,70.0,268,0,150,A Level or Equivalent,35-55,10-20,N,M,East Anglian Region
AAA,2013J,75091,Pass,2992.0,122.0,100.0,0.0,0.0,66.0,5.0,100.0,268,0,60,A Level or Equivalent,35-55,30-40%,N,M,South West Region
AAA,2013J,77367,Pass,680.0,86.0,44.0,0.0,0.0,70.4,5.0,100.0,268,0,60,A Level or Equivalent,0-35,30-40%,N,M,East Midlands Region
AAA,2013J,91265,Pass,1494.0,125.0,60.0,0.0,0.0,70.8,5.0,100.0,268,0,60,HE Qualification,0-35,0-10%,N,M,North Western Region
AAA,2013J,94961,Withdrawn,339.0,24.0,26.0,0.0,0.0,74.0,1.0,10.0,268,0,60,Lower Than A Level,35-55,70-80%,N,M,South Region
AAA,2013J,98094,Pass,2839.0,91.0,91.0,0.0,0.0,60.6,5.0,100.0,268,0,60,Lower Than A Level,35-55,70-80%,N,M,Wales
AAA,2013J,100893,Pass,744.0,52.0,47.0,0.0,0.0,68.4,5.0,100.0,268,0,60,A Level or Equivalent,0-35,20-30%,N,M,Yorkshire Region
AAA,2013J,101781,Pass,4104.0,144.0,99.0,0.0,0.0,72.6,5.0,100.0,268,0,60,Lower Than A Level,35-55,80-90%,N,M,South Region
AAA,2013J,102806,Pass,1944.0,177.0,75.0,0.0,0.0,78.0,5.0,100.0,268,0,60,A Level or Equivalent,0-35,30-40%,N,M,North Western Region
AAA,2013J,102952,Pass,1150.0,58.0,69.0,0.0,0.0,76.6,5.0,100.0,268,0,60,HE Qualification,0-35,60-70%,N,M,London Region
